Transaction Date,Month,Buyer First Name,Buyer Last Name,Full Name,Buyer Location,Buyer Date of Birth,Age,Age Category,Payment Method,Quantity Purchased,Product Code,Biscuit Brand,Cost,Unit Price,Revenue,Total Cost of Goods,Profit,Product Price Category,Sales Representative,Gender
2024-06-12,Jun,Mary,Rodriguez,Mary Rodriguez,Philadelphia,1989-08-22,36,31-50,Debit Card,383,Pro01,Butter Crunch,10,11,4213,3830,383,High Price,April Watkins,Other
2024-04-11,Apr,Jason,Wilson,Jason Wilson,Houston,1957-09-23,67,50-70,Mobile Payment,425,Pro03,Choco Delight,3,5,2125,1275,850,Low Price,April Watkins,Male
2024-04-13,Apr,Terri,Bailey,Terri Bailey,Philadelphia,1964-12-18,60,50-70,Debit Card,205,Pro07,Oatmeal Cookies,19,23,4715,3895,820,High Price,Elizabeth Guerrero,Other
2024-04-30,Apr,Robert,Hernandez,Robert Hernandez,San Antonio,1981-12-13,43,31-50,Credit Card,434,Pro08,Peanut Butter Bites,5,7,3038,2170,868,Low Price,Tracy Lee,Male
2024-06-23,Jun,Alexander,Smith,Alexander Smith,San Jose,1959-12-08,65,50-70,Cash,384,Pro02,Caramel Biscuits,18,22,8448,6912,1536,High Price,Sara Robertson,Other
2024-01-24,Jan,Mary,Rodriguez,Mary Rodriguez,Philadelphia,1998-05-23,27,11-30,Cash,337,Pro04,Cinnamon Swirls,10,14,4718,3370,1348,High Price,Katie Stanton,Female
2024-04-13,Apr,April,Mendez,April Mendez,Los Angeles,2006-07-22,19,11-30,Debit Card,197,Pro02,Caramel Biscuits,18,22,4334,3546,788,High Price,Susan Dean,Other
2024-07-27,Jul,Dennis,Norris,Dennis Norris,New York,1973-01-31,52,50-70,Cash,410,Pro07,Oatmeal Cookies,19,23,9430,7790,1640,High Price,Katie Stanton,Male
2024-05-02,May,Andrea,Davis,Andrea Davis,Dallas,1985-08-04,40,31-50,Mobile Payment,376,Pro10,Vanilla Wafers,18,36,13536,6768,6768,High Price,Susan Dean,Other
2024-06-19,Jun,Teresa,Coleman,Teresa Coleman,New York,1952-04-14,73,70above,Mobile Payment,370,Pro02,Caramel Biscuits,18,22,8140,6660,1480,High Price,Susan Dean,Other
2024-06-05,Jun,Justin,Sanchez,Justin Sanchez,Dallas,1954-11-07,70,50-70,Debit Card,494,Pro08,Peanut Butter Bites,5,7,3458,2470,988,Low Price,Sara Robertson,Male
2024-03-20,Mar,Sean,Garcia,Sean Garcia,San Jose,1998-09-18,26,11-30,Debit Card,385,Pro04,Cinnamon Swirls,10,14,5390,3850,1540,High Price,Katie Stanton,Other
2024-02-25,Feb,Erica,Collins,Erica Collins,Dallas,1958-09-23,66,50-70,Cash,276,Pro03,Choco Delight,3,5,1380,828,552,Low Price,Susan Dean,Male
2024-04-07,Apr,Joseph,Perez,Joseph Perez,Phoenix,1984-09-24,40,31-50,Debit Card,205,Pro04,Cinnamon Swirls,10,14,2870,2050,820,High Price,Katie Stanton,Other
2024-07-31,Jul,Monica,Hogan,Monica Hogan,Chicago,1989-04-06,36,31-50,Cash,212,Pro03,Choco Delight,3,5,1060,636,424,Low Price,Susan Dean,Male
2024-01-22,Jan,Wendy,Olsen,Wendy Olsen,Los Angeles,1972-01-19,53,50-70,Mobile Payment,381,Pro09,Shortbread,10,45,17145,3810,13335,High Price,April Watkins,Other
2024-02-11,Feb,Kathy,Morris,Kathy Morris,Los Angeles,2003-09-25,21,11-30,Mobile Payment,242,Pro08,Peanut Butter Bites,5,7,1694,1210,484,Low Price,April Watkins,Male
2024-04-16,Apr,Mario,Rubio,Mario Rubio,San Jose,1989-02-13,36,31-50,Credit Card,88,Pro04,Cinnamon Swirls,10,14,1232,880,352,High Price,Elizabeth Guerrero,Other
2024-02-26,Feb,Julie,Ortiz,Julie Ortiz,San Antonio,1978-02-25,47,31-50,Mobile Payment,432,Pro10,Vanilla Wafers,18,36,15552,7776,7776,High Price,Tracy Lee,Male
2024-02-10,Feb,Nancy,Lee,Nancy Lee,San Jose,1947-05-31,78,70above,Debit Card,484,Pro10,Vanilla Wafers,18,36,17424,8712,8712,High Price,Sara Robertson,Other
2024-07-18,Jul,Christopher,Martin,Christopher Martin,Phoenix,1971-10-28,53,50-70,Mobile Payment,412,Pro08,Peanut Butter Bites,5,7,2884,2060,824,Low Price,Katie Stanton,Male
2024-04-05,Apr,Nathan,Williams,Nathan Williams,San Jose,1957-04-08,68,50-70,Credit Card,426,Pro02,Caramel Biscuits,18,22,9372,7668,1704,High Price,Susan Dean,Other
2024-05-18,May,Donna,Jacobs,Donna Jacobs,Chicago,1956-03-18,69,50-70,Cash,280,Pro09,Shortbread,10,45,12600,2800,9800,High Price,Katie Stanton,Male
2024-04-07,Apr,Sherri,Watts,Sherri Watts,San Diego,1964-08-15,61,50-70,Mobile Payment,351,Pro01,Butter Crunch,10,11,3861,3510,351,High Price,Susan Dean,Other
2024-01-15,Jan,Brandon,Clark,Brandon Clark,San Jose,1969-09-03,56,50-70,Mobile Payment,121,Pro05,Ginger Snaps,14,28,3388,1694,1694,High Price,Susan Dean,Male
2024-06-21,Jun,Michael,Oneill,Michael Oneill,Los Angeles,1991-08-07,34,31-50,Mobile Payment,267,Pro04,Cinnamon Swirls,10,14,3738,2670,1068,High Price,Sara Robertson,Other
2024-07-31,Jul,Hannah,Gonzalez,Hannah Gonzalez,Philadelphia,1974-12-27,50,31-50,Debit Card,407,Pro04,Cinnamon Swirls,10,14,5698,4070,1628,High Price,Katie Stanton,Other
2024-03-20,Mar,Joan,Hodges,Joan Hodges,San Diego,1966-09-23,58,50-70,Credit Card,66,Pro08,Peanut Butter Bites,5,7,462,330,132,Low Price,Susan Dean,Male
2024-03-10,Mar,Ryan,Gonzales,Ryan Gonzales,Houston,1986-01-28,39,31-50,Credit Card,500,Pro10,Vanilla Wafers,18,36,18000,9000,9000,High Price,Katie Stanton,Other
2024-04-06,Apr,David,Romero,David Romero,Los Angeles,1955-04-28,70,50-70,Debit Card,373,Pro09,Shortbread,10,45,16785,3730,13055,High Price,Susan Dean,Other
2024-05-04,May,Shannon,Butler,Shannon Butler,New York,2002-12-05,22,11-30,Debit Card,397,Pro02,Caramel Biscuits,18,22,8734,7146,1588,High Price,April Watkins,Male
2024-04-15,Apr,Theodore,Peterson,Theodore Peterson,Los Angeles,1969-07-12,56,50-70,Cash,478,Pro02,Caramel Biscuits,18,22,10516,8604,1912,High Price,April Watkins,Other
2024-02-20,Feb,Kathryn,Smith,Kathryn Smith,Philadelphia,1961-10-03,63,50-70,Cash,428,Pro08,Peanut Butter Bites,5,7,2996,2140,856,Low Price,Elizabeth Guerrero,Male
2024-07-28,Jul,Marissa,Torres,Marissa Torres,Phoenix,1972-12-26,52,50-70,Debit Card,60,Pro10,Vanilla Wafers,18,36,2160,1080,1080,High Price,Tracy Lee,Other
2024-07-26,Jul,Elizabeth,Nicholson,Elizabeth Nicholson,Houston,1969-08-10,56,50-70,Cash,400,Pro08,Peanut Butter Bites,5,7,2800,2000,800,Low Price,Sara Robertson,Female
2024-07-30,Jul,Edward,Roberts,Edward Roberts,Philadelphia,1965-08-28,60,50-70,Mobile Payment,395,Pro02,Caramel Biscuits,18,22,8690,7110,1580,High Price,Katie Stanton,Other
2024-06-04,Jun,Matthew,Franklin,Matthew Franklin,Chicago,1949-07-11,76,70above,Debit Card,500,Pro02,Caramel Biscuits,18,22,11000,9000,2000,High Price,Susan Dean,Male
2024-01-15,Jan,Lindsey,Oconnell,Lindsey Oconnell,San Antonio,1960-08-11,65,50-70,Mobile Payment,70,Pro08,Peanut Butter Bites,5,7,490,350,140,Low Price,Katie Stanton,Other
2024-01-26,Jan,Kayla,Hall,Kayla Hall,Dallas,1992-10-19,32,31-50,Cash,271,Pro08,Peanut Butter Bites,5,7,1897,1355,542,Low Price,Susan Dean,Male
2024-04-28,Apr,Virginia,Bean,Virginia Bean,San Diego,2001-09-16,23,11-30,Debit Card,372,Pro09,Shortbread,10,45,16740,3720,13020,High Price,Susan Dean,Other
2024-07-09,Jul,Emily,Smith,Emily Smith,Los Angeles,1958-09-22,66,50-70,Debit Card,46,Pro02,Caramel Biscuits,18,22,1012,828,184,High Price,Sara Robertson,Male
2024-01-24,Jan,Beth,Kennedy,Beth Kennedy,Dallas,1999-01-30,26,11-30,Mobile Payment,150,Pro03,Choco Delight,3,5,750,450,300,Low Price,Katie Stanton,Other
2024-04-19,Apr,Cameron,Berger,Cameron Berger,San Jose,2003-04-10,22,11-30,Mobile Payment,242,Pro08,Peanut Butter Bites,5,7,1694,1210,484,Low Price,Susan Dean,Male
2024-05-26,May,Randy,Foster,Randy Foster,San Jose,2000-10-22,24,11-30,Credit Card,437,Pro07,Oatmeal Cookies,19,23,10051,8303,1748,High Price,Katie Stanton,Other
2024-05-15,May,Kayla,James,Kayla James,Phoenix,1989-05-11,36,31-50,Debit Card,35,Pro09,Shortbread,10,45,1575,350,1225,High Price,Susan Dean,Male
2024-02-06,Feb,Marcia,Johnson,Marcia Johnson,San Antonio,1979-05-17,46,31-50,Cash,364,Pro03,Choco Delight,3,5,1820,1092,728,Low Price,April Watkins,Other
2024-07-03,Jul,Tracy,Calderon,Tracy Calderon,Los Angeles,1975-05-04,50,31-50,Debit Card,47,Pro09,Shortbread,10,45,2115,470,1645,High Price,April Watkins,Male
2024-06-04,Jun,Martin,Martin,Martin Martin,Los Angeles,1968-04-09,57,50-70,Credit Card,56,Pro04,Cinnamon Swirls,10,14,784,560,224,High Price,Elizabeth Guerrero,Other
2024-02-01,Feb,Judy,Anderson,Judy Anderson,San Antonio,2005-06-11,20,11-30,Credit Card,116,Pro07,Oatmeal Cookies,19,23,2668,2204,464,High Price,Tracy Lee,Male
2024-04-06,Apr,Nicolas,Werner,Nicolas Werner,Phoenix,1957-12-29,67,50-70,Cash,143,Pro05,Ginger Snaps,14,28,4004,2002,2002,High Price,Sara Robertson,Other
2024-04-18,Apr,Steven,Anderson,Steven Anderson,San Diego,1955-03-10,70,50-70,Credit Card,216,Pro05,Ginger Snaps,14,28,6048,3024,3024,High Price,Katie Stanton,Male
2024-04-23,Apr,Timothy,Jones,Timothy Jones,Houston,1963-02-18,62,50-70,Cash,391,Pro03,Choco Delight,3,5,1955,1173,782,Low Price,Susan Dean,Other
2024-01-17,Jan,Scott,Day,Scott Day,New York,1973-07-11,52,50-70,Debit Card,36,Pro05,Ginger Snaps,14,28,1008,504,504,High Price,Katie Stanton,Male
2024-06-28,Jun,Wesley,Horne,Wesley Horne,Phoenix,1949-04-08,76,70above,Debit Card,161,Pro09,Shortbread,10,45,7245,1610,5635,High Price,Susan Dean,Male
2024-01-28,Jan,Patricia,Reed,Patricia Reed,Houston,1996-12-13,28,11-30,Debit Card,481,Pro05,Ginger Snaps,14,28,13468,6734,6734,High Price,Susan Dean,Male
2024-03-24,Mar,Willie,Robertson,Willie Robertson,San Diego,1949-11-14,75,70above,Debit Card,495,Pro09,Shortbread,10,45,22275,4950,17325,High Price,Sara Robertson,Male
2024-02-11,Feb,Jason,Murray,Jason Murray,San Diego,1988-11-18,36,31-50,Credit Card,81,Pro01,Butter Crunch,10,11,891,810,81,High Price,Katie Stanton,Male
2024-04-01,Apr,Rodney,Diaz,Rodney Diaz,Los Angeles,1992-11-09,32,31-50,Debit Card,116,Pro01,Butter Crunch,10,11,1276,1160,116,High Price,Susan Dean,Male
2024-01-09,Jan,Emily,Bird,Emily Bird,Chicago,1956-08-02,69,50-70,Mobile Payment,94,Pro02,Caramel Biscuits,18,22,2068,1692,376,High Price,Katie Stanton,Male
2024-05-14,May,Timothy,Pitts,Timothy Pitts,San Diego,1983-04-18,42,31-50,Credit Card,401,Pro07,Oatmeal Cookies,19,23,9223,7619,1604,High Price,Susan Dean,Male
2024-04-10,Apr,Marcus,Dickson,Marcus Dickson,Los Angeles,1945-04-18,80,70above,Debit Card,308,Pro09,Shortbread,10,45,13860,3080,10780,High Price,April Watkins,Male
2024-04-06,Apr,Beth,Parrish,Beth Parrish,San Diego,1973-01-18,52,50-70,Mobile Payment,405,Pro02,Caramel Biscuits,18,22,8910,7290,1620,High Price,April Watkins,Male
2024-01-27,Jan,Marvin,Rivera,Marvin Rivera,San Jose,1958-02-10,67,50-70,Debit Card,221,Pro10,Vanilla Wafers,18,36,7956,3978,3978,High Price,Elizabeth Guerrero,Male
2024-04-09,Apr,Robert,Cooke,Robert Cooke,Philadelphia,1947-04-28,78,70above,Credit Card,326,Pro01,Butter Crunch,10,11,3586,3260,326,High Price,Tracy Lee,Male
2024-01-18,Jan,Robert,Padilla,Robert Padilla,Philadelphia,1974-12-03,50,31-50,Credit Card,472,Pro07,Oatmeal Cookies,19,23,10856,8968,1888,High Price,Sara Robertson,Male
2024-01-31,Jan,Jeremy,Rios,Jeremy Rios,Dallas,1961-05-11,64,50-70,Mobile Payment,216,Pro09,Shortbread,10,45,9720,2160,7560,High Price,Katie Stanton,Male
2024-05-26,May,Zachary,Reed,Zachary Reed,San Antonio,1986-03-05,39,31-50,Credit Card,178,Pro06,Lemon Crisps,7,9,1602,1246,356,Low Price,Susan Dean,Male
2024-05-06,May,Joseph,Woodward,Joseph Woodward,San Diego,1984-07-21,41,31-50,Credit Card,72,Pro05,Ginger Snaps,14,28,2016,1008,1008,High Price,Katie Stanton,Male
2024-07-29,Jul,Sharon,Yates,Sharon Yates,Philadelphia,1987-11-24,37,31-50,Credit Card,486,Pro10,Vanilla Wafers,18,36,17496,8748,8748,High Price,Susan Dean,Male
2024-02-07,Feb,Melissa,Curtis,Melissa Curtis,Houston,1994-06-05,31,31-50,Credit Card,292,Pro10,Vanilla Wafers,18,36,10512,5256,5256,High Price,Susan Dean,Male
2024-06-30,Jun,Jacob,Kelly,Jacob Kelly,New York,1991-06-23,34,31-50,Mobile Payment,313,Pro08,Peanut Butter Bites,5,7,2191,1565,626,Low Price,Sara Robertson,Male
2024-01-05,Jan,Mark,Williams,Mark Williams,Phoenix,1985-09-19,39,31-50,Debit Card,224,Pro04,Cinnamon Swirls,10,14,3136,2240,896,High Price,Katie Stanton,Male
2024-01-31,Jan,David,Gray,David Gray,Phoenix,2004-10-31,20,11-30,Mobile Payment,340,Pro09,Shortbread,10,45,15300,3400,11900,High Price,Susan Dean,Male
2024-06-10,Jun,Roger,Rodriguez,Roger Rodriguez,Dallas,1993-10-11,31,31-50,Debit Card,283,Pro04,Cinnamon Swirls,10,14,3962,2830,1132,High Price,Katie Stanton,Male
2024-01-30,Jan,Stephen,Mason,Stephen Mason,Los Angeles,1972-08-19,53,50-70,Mobile Payment,59,Pro05,Ginger Snaps,14,28,1652,826,826,High Price,Susan Dean,Male
2024-01-30,Jan,Brett,Johnson,Brett Johnson,San Diego,1974-09-27,50,31-50,Mobile Payment,258,Pro08,Peanut Butter Bites,5,7,1806,1290,516,Low Price,April Watkins,Male
2024-03-17,Mar,Michael,Hernandez,Michael Hernandez,Dallas,1990-04-25,35,31-50,Debit Card,473,Pro07,Oatmeal Cookies,19,23,10879,8987,1892,High Price,April Watkins,Male
2024-06-03,Jun,Donna,Bailey,Donna Bailey,New York,1968-04-21,57,50-70,Cash,332,Pro03,Choco Delight,3,5,1660,996,664,Low Price,Elizabeth Guerrero,Male
2024-01-26,Jan,Jennifer,Rodriguez,Jennifer Rodriguez,New York,1989-07-01,36,31-50,Credit Card,274,Pro02,Caramel Biscuits,18,22,6028,4932,1096,High Price,Tracy Lee,Female
2024-06-17,Jun,Tammy,Shannon,Tammy Shannon,Philadelphia,2003-10-29,21,11-30,Cash,113,Pro02,Caramel Biscuits,18,22,2486,2034,452,High Price,Sara Robertson,Male
2024-05-27,May,James,Nichols,James Nichols,Philadelphia,1943-09-18,81,70above,Cash,464,Pro10,Vanilla Wafers,18,36,16704,8352,8352,High Price,Katie Stanton,Male
2024-07-02,Jul,Juan,Porter,Juan Porter,Chicago,1991-04-18,34,31-50,Mobile Payment,309,Pro09,Shortbread,10,45,13905,3090,10815,High Price,Susan Dean,Male
2024-05-09,May,Christopher,Valencia,Christopher Valencia,Los Angeles,1958-11-20,66,50-70,Cash,180,Pro09,Shortbread,10,45,8100,1800,6300,High Price,Katie Stanton,Male
2024-01-12,Jan,Carlos,Gallegos,Carlos Gallegos,San Antonio,1965-01-26,60,50-70,Cash,71,Pro02,Caramel Biscuits,18,22,1562,1278,284,High Price,Susan Dean,Male
2024-02-02,Feb,Justin,Wilson,Justin Wilson,Philadelphia,1996-08-14,29,11-30,Credit Card,92,Pro04,Cinnamon Swirls,10,14,1288,920,368,High Price,Susan Dean,Male
2024-06-19,Jun,Pamela,Kramer,Pamela Kramer,New York,1969-08-24,56,50-70,Debit Card,170,Pro02,Caramel Biscuits,18,22,3740,3060,680,High Price,Sara Robertson,Other
2024-05-15,May,Ethan,Ford,Ethan Ford,Chicago,1997-11-28,27,11-30,Debit Card,139,Pro03,Choco Delight,3,5,695,417,278,Low Price,Katie Stanton,Male
2024-03-10,Mar,Danny,Armstrong,Danny Armstrong,Chicago,1995-12-30,29,11-30,Cash,150,Pro09,Shortbread,10,45,6750,1500,5250,High Price,Susan Dean,Other
2024-05-05,May,Nathaniel,Williams,Nathaniel Williams,Dallas,1957-09-23,67,50-70,Mobile Payment,443,Pro07,Oatmeal Cookies,19,23,10189,8417,1772,High Price,Katie Stanton,Male
2024-01-13,Jan,Steven,Reynolds,Steven Reynolds,Chicago,1987-05-10,38,31-50,Credit Card,39,Pro10,Vanilla Wafers,18,36,1404,702,702,High Price,Susan Dean,Male
2024-01-28,Jan,Tracy,Schmidt,Tracy Schmidt,San Antonio,1949-10-21,75,70above,Cash,376,Pro09,Shortbread,10,45,16920,3760,13160,High Price,April Watkins,Other
2024-05-13,May,Ana,Wallace,Ana Wallace,Dallas,1946-03-22,79,70above,Credit Card,150,Pro08,Peanut Butter Bites,5,7,1050,750,300,Low Price,April Watkins,Male
2024-01-18,Jan,Gerald,Calhoun,Gerald Calhoun,Philadelphia,1987-12-30,37,31-50,Debit Card,326,Pro04,Cinnamon Swirls,10,14,4564,3260,1304,High Price,Elizabeth Guerrero,Other
2024-01-21,Jan,Karen,Kramer,Karen Kramer,Phoenix,1967-03-07,58,50-70,Mobile Payment,28,Pro09,Shortbread,10,45,1260,280,980,High Price,Tracy Lee,Male
2024-01-21,Jan,Tammy,Smith,Tammy Smith,San Antonio,1982-07-01,43,31-50,Mobile Payment,444,Pro04,Cinnamon Swirls,10,14,6216,4440,1776,High Price,Sara Robertson,Other
2024-03-12,Mar,Andre,Lewis,Andre Lewis,Los Angeles,1946-12-07,78,70above,Cash,122,Pro02,Caramel Biscuits,18,22,2684,2196,488,High Price,Katie Stanton,Other
2024-07-06,Jul,Logan,Miller,Logan Miller,San Antonio,1983-05-01,42,31-50,Cash,171,Pro03,Choco Delight,3,5,855,513,342,Low Price,Susan Dean,Male
2024-02-12,Feb,Christina,Watts,Christina Watts,Philadelphia,2002-11-29,22,11-30,Credit Card,66,Pro10,Vanilla Wafers,18,36,2376,1188,1188,High Price,Katie Stanton,Other
2024-02-26,Feb,Richard,Mendoza,Richard Mendoza,Phoenix,2004-11-21,20,11-30,Cash,56,Pro04,Cinnamon Swirls,10,14,784,560,224,High Price,Susan Dean,Male
2024-02-12,Feb,Sabrina,Kramer,Sabrina Kramer,Los Angeles,1948-06-06,77,70above,Mobile Payment,318,Pro10,Vanilla Wafers,18,36,11448,5724,5724,High Price,Susan Dean,Other
2024-04-27,Apr,Karen,Fischer,Karen Fischer,Dallas,1968-07-30,57,50-70,Mobile Payment,402,Pro08,Peanut Butter Bites,5,7,2814,2010,804,Low Price,Sara Robertson,Male
2024-07-30,Jul,Michelle,Juarez,Michelle Juarez,Los Angeles,1991-07-11,34,31-50,Debit Card,444,Pro07,Oatmeal Cookies,19,23,10212,8436,1776,High Price,Katie Stanton,Other
2024-03-30,Mar,Daniel,Roberson,Daniel Roberson,San Diego,1972-05-27,53,50-70,Cash,357,Pro03,Choco Delight,3,5,1785,1071,714,Low Price,Susan Dean,Male
2024-06-21,Jun,Candace,Odonnell,Candace Odonnell,San Jose,1977-11-18,47,31-50,Mobile Payment,329,Pro03,Choco Delight,3,5,1645,987,658,Low Price,Katie Stanton,Other
2024-02-08,Feb,Danielle,Palmer,Danielle Palmer,San Antonio,1963-10-27,61,50-70,Cash,332,Pro02,Caramel Biscuits,18,22,7304,5976,1328,High Price,Susan Dean,Male
2024-07-02,Jul,Michael,Livingston,Michael Livingston,Philadelphia,1972-04-28,53,50-70,Credit Card,449,Pro04,Cinnamon Swirls,10,14,6286,4490,1796,High Price,April Watkins,Other
2024-07-09,Jul,Robert,Garcia,Robert Garcia,San Jose,1957-08-29,68,50-70,Mobile Payment,29,Pro01,Butter Crunch,10,11,319,290,29,High Price,April Watkins,Male
2024-07-06,Jul,Adrienne,Wilson,Adrienne Wilson,San Jose,1963-06-17,62,50-70,Cash,70,Pro04,Cinnamon Swirls,10,14,980,700,280,High Price,Elizabeth Guerrero,Other
2024-01-12,Jan,Mark,Garcia,Mark Garcia,Chicago,1976-07-05,49,31-50,Mobile Payment,271,Pro06,Lemon Crisps,7,9,2439,1897,542,Low Price,Tracy Lee,Male
2024-06-03,Jun,Nicholas,Rogers,Nicholas Rogers,Philadelphia,1951-08-23,74,70above,Cash,186,Pro03,Choco Delight,3,5,930,558,372,Low Price,Sara Robertson,Other
2024-02-08,Feb,Alexandra,Potter,Alexandra Potter,Houston,1990-05-17,35,31-50,Debit Card,54,Pro07,Oatmeal Cookies,19,23,1242,1026,216,High Price,Katie Stanton,Other
2024-05-07,May,Diana,Hall,Diana Hall,Phoenix,2002-10-17,22,11-30,Mobile Payment,383,Pro10,Vanilla Wafers,18,36,13788,6894,6894,High Price,Susan Dean,Male
2024-07-05,Jul,Dawn,Daniels,Dawn Daniels,San Jose,1982-05-02,43,31-50,Credit Card,306,Pro06,Lemon Crisps,7,9,2754,2142,612,Low Price,Katie Stanton,Other
2024-04-30,Apr,George,Brown,George Brown,San Antonio,1955-11-29,69,50-70,Cash,461,Pro01,Butter Crunch,10,11,5071,4610,461,High Price,Susan Dean,Other
2024-02-12,Feb,Marilyn,Cunningham,Marilyn Cunningham,New York,1958-06-10,67,50-70,Debit Card,496,Pro05,Ginger Snaps,14,28,13888,6944,6944,High Price,Susan Dean,Male
2024-03-27,Mar,Samantha,Howard,Samantha Howard,Chicago,1962-01-12,63,50-70,Credit Card,42,Pro05,Ginger Snaps,14,28,1176,588,588,High Price,Sara Robertson,Other
2024-05-14,May,Nathan,Frazier,Nathan Frazier,Los Angeles,2003-09-20,21,11-30,Credit Card,136,Pro10,Vanilla Wafers,18,36,4896,2448,2448,High Price,Katie Stanton,Other
